b'buen profesor esmer ensen tem correspond cas calcul diferencial paricial dificil si dedicacion',,,,,,,
b'tip descuid materi dict desord evident jam prep clas profesor deb ver materi si quier aprend bien detall curs tampoc nivel ningun',,,,,,,
b'vi calcul ecuacion diferencial materi entend profesor teni bien prepar cad clas profesor pon bastant nivel curs si aprovech curs sal bien prepar profesor despreocup materi',,,,,,,
"b""ocasion profesor divag clas inclus ocasion crei llev clas suficient prepar pues enred hor realiz ejercici lad exig da ejempl debi hac trabaj programacion program llam maxim '"," asum ...""",,,,,,
b'excelent profesor explic bien divag dej taller estudi calif just parcial trabaj siempr hech taller respetu amabl',,,,,,,
b'cre epifani buen profesor dar tem respect comentari lei ser escueler ultim parec subjet dad ocasion profesor catalog escueler remarc diferenci pas cos color tabler profesor esmer hac estudi entiend tem explic met llen explic cos parec buen gran falenci lleg tard lleg tard men horari am suced semestr dict salt tem final semestr cos ten cuent segun experient pued ayud decid estrict actitud estudi clas respect ejempl bostez celul clas audifon etc ). molest dic ocasion chocant aunqu comun pas ). profesor respetu simpat inclus hac brom comentari gracios ameniz clas vec comentari gust not respetu disculp ejempl ultim clas muchach confundi teorem reci explic hiz bullying buen excedi ningun moment comentari cos entonc pregunt teorem siempr pregunt clas ). muchach disgust cog parch aunqu form san profesor disculp continu clas esmer entiend si entiend tem estudi repas brevement explic quic regal parcial mas dificil lleg tard min promedi almen horari recom horari',,,,,,,
b'clas entreten comun activ ayud pens form creativ clas teoric choc clas practic',,,,,,,
b'engeneral buen profesor esmer ensenart bien lleg tard siempr',,,,,,,
"b'ego gigant """, mas bien cient sab valor profesional deberi aprend contrari preocup ayud estudi materi sin nivel general solucion inconvenient especial ver part administr profesor valor muchisim participacion clas fascin habl gener debat hag pregunt si activ curs segur final tendr buen not detest desidi escatim dar fuert critic ider merec mejor docent aprend marketing exigent aterriz concept realid',,,,,,
b'excelent profesor explic bien tem puntual concis siempr dispuest resolv dud',,,,,,,
b'aprend monton acerc oper necesari deberi ensen fundament finanz clar explic rigur trav taller extiend tem comprend mejor ensen necesit fundament finanz clar mal person groser estudi minimiz hac sent estup cascarer quiz parcial perez calific sab not sin final semestr gust hag pregunt',,,,,,,
b'amabl explic bien facil pas impuntual',,,,,,,
b'profesor lleg tard da clas carrer finaliz repent va dec desped primer clas qued esper pens habi sal atend llam general aprend parcial facil aceler vec sal mal gent',,,,,,,
b'profesor dedic materi dict taller activ relacion empres real cas pued present organiz explic tem produccion diger vision ingenieril recom ver cualqui materi profesor pes jov gust ensen compart tod experient emprendedor monitor profesor luis alejandr rodriguez entiend problem present estudi ningun',,,,,,,
b'buen explic madr si pon atencion hac taller concienci materi sal facil',,,,,,,
b'profesor conoc expon hac clas amen negat entreg not sin final curs vec alcanz tiemp tem curs',,,,,,,
b'profesor excelent si vas tod clas prest atencion pued dej alta hac tres parcial seleccion multipl mayor cas hac taller clas profesor explic bien val complet pen ser clas vi sab iba agrad',,,,,,,
b'mejor profesor program administracion clas interes sab llam atencion estudi particip activ materi parcial facil trabaj facil retroalimentacion tod clas',,,,,,,
b'buen profesor explic bien envi diaposit cual estudi inici cad clas repas vist anterior excelent docent',,,,,,,
b'gran profesor aunqu vec pued ser aburr',,,,,,,
b'profesor hac enfasis histori colombi histori mund filosofi antropologi sociologi tem toc carrer administracion empres relacion parec excelent introduccion estudi reci egres bachillerat dej estudi tiemp lectur larg sustancial parcial lectur recomend profesor sab acerc tem hac clas amen ser human excepcional sol quier ver tem relacion administracion organiz mas mejor vea materi profesor',,,,,,,
b'profesor demuestr clas conoc domini tem exposicion conten mediant ejempl cotidian cercan realid colombian asi buen humor element atract clas lad suel falt clas ocasion sesion brev parec prepar pes ello desempen profesor parec satisfactori si podri ser mejor organizacion entreg not buen acompan monitori discusion problemat actual relacion curs parcial complic inasistent frecuent perd clas ocasion insuficient preparacion clas',,,,,,,
b'explic tem maner sencill resuelv cualqui dud maner amabl parcial memorist',,,,,,,
b'gran profesor excelent conoc tem especial relacion marketing',,,,,,,
b'excelent profesor atent asistent hac quic ), si estudi facil hac much dinam clas',,,,,,
b'buen profesor didact hac estudi particip clas',,,,,,,
b'envi diaposit clas clas pued hac tedios',,,,,,,
b'materi facil aprob egu not alta parcial plant bas taller realiz transcurs semestr docent falt clas mayori tem vieron mediant text gui',,,,,,,
b'materi buen interes profesor vec rar explic trat unas lectur respect resum part final semestr aprend negoci verd util vid',,,,,,,
b'facil entend va rap va par lectur dej hech explic cas lectur buen parcial dej pued habl companer sac cuadern taller dificil pued dej alta aprend',,,,,,,
b'buen gent pon activ abren ment activ chever ningun',,,,,,,
b'jair buen profesor vi merc prof sab muchisim marketing experient amplisim par recordar cad clas explic tem bien tal ves conocedor mas joven tem clas explic ejempl vid experient mayor part clas bas exposicion trabaj grup clas toc realiz trabaj libr marketing grup bastant grand seri exposicion capitul libr respect resumen inform gerencial adem trabaj analiz sector obstant si particip clas segur obtendr buen not da nunc retroalimentacion ego mas grand cualqu not semestr resumen import sol import quiz minut analisis sector',,,,,,,
b'buen docent tem explic mejor form dan entend total',,,,,,,
b'profesor inspir estudi ingenieri industrial aport socied buen gent vec habl rap dedic clas da ejempl tem clas permit estudi lleg tard clas ingres salon cre interrupcion',,,,,,,
b'buen profesor suel ayud estudi va bien ideracion not monitori moment vi dio bon parcial final ayud pasar',,,,,,,
b'sab problem bastant perez fresc hor dar clas repit discurs aplic tem sab parcial principal lectur parec buen profesor',,,,,,,
b'explic bien clas dej lleg tard ayud parcial segun recuerd calif tacan',,,,,,,
b'clas dinam gran conoc especial marketing preocup estudi sep aplic concept clas si realiz trabaj map conceptual asi evalu period final pued ayud not',,,,,,,
b'abord tem program cad clas realiz ejercici afianz conoc',,,,,,,
b'claudi buen docent intent explic profund tem relacion contabil ciert tratamient contabl especif pued pregunt enoj respond buen maner hac posibl entiend tem propuest clas si demuestr inter sac mal not busc maner ayudart molest mediocr estudi normal',,,,,,,
b'profesor excelent si vas tod clas prest atencion pued dej alta hac tres parcial seleccion multipl mayor cas hac taller clas profesor explic bien val complet pen ser clas vi sab iba agrad',,,,,,,
b'clas floj falt men sesion',,,,,,,
b'profesor exigent not conoc tem palm man explic bien siempr abiert hag pregunt explic puntual demasi organiz conoc bastant bien tem ensen argumentacion sol demasi casc parcial da sol oportun',,,,,,,
b'excelent profesor aprend monton clas entreten usa ejempl parahac mas comprens tem entreten parcial complej',,,,,,,
b'aunqu profesor person conoc histori tiend perd tem deberi trat direct asignatur cas aprendi realment fundament administracion pues clas mas repas histor colombi enfoqu histori administracion explic bien medi map conceptual intent clas amen estudi distra facil tem explic tiend desenfoc fundament administracion parcial literal lectur pie letr lectur complement expon clas enfoc tem deb trat',,,,,,,
b'aburr clas apes conoc pose profesor not',,,,,,,
b'gran profesor entiend tem not gran manej profesor',,,,,,,
b'empez ser profesor decent lueg prim parcial cancel estudi vec clas habl cos interes explic bien asum sab respond pregunt',,,,,,,
b'lectur chever',,,,,,,
b'germ gran profesor pues esfuerz explic cad tem form clar complet propon ejempl clar vec complej pod entend mejor tem explic diaposit complet lueg compart estudi autonom explic bien tem orden cumpl preocup principal registr contabl da oportun parcial tiend coloc much casc',,,,,,,
b'profesor preocup dar mir critic hac clas practic mas import aprend pued ultar problem tem interes clas tip sab personal vari vec acerqu dud respondi form respetu busc ejempl permit entend mejor concept parcial dificil pierd vag mas critic buen profesor cult just puntual',,,,,,,
b'clas tremend aburr vi tiemp dict clas leyend libr literal si prepar supong eventual profesor sab tem dad respet facult gust clas principi clas siempr deb habl comentari cerc lectur dej import participacion',,,,,,,
b'atreveri dec mejor profesor program administracion entiend deb ensen maner calific conten interact refuerz trav taller exposicion',,,,,,,
b'excelent profesor aprend muchisim much pacienci explic ejemplif just not hac parcial taller trabaj final examen hac dej sac lectur comput celular evalu usted sep hac analisis financier',,,,,,,
b'materi bastant sencill dificult egu buen not nivel estudi autonom creeri fundamental curs qued clar metodologi curs almen bloqu hor sencill profesor tiend lleg tard clas min ), adem mayori bloqu da reces min mit clas entrand mas not not final parcial siend larg semestr cad respect cad clas tiend ten mism metodologi realiz mism hac uso ejempl cit sustent tem explic adem da bon aleatori larg curs basic ejercici memori literal ejempl norm cit )," met emocion clas demuestr buen control tem cad clas estant clas pued volv monoton mism tem sencill bastant deduc manej context adem naturalez ley tiend ser mism almen curs ello monoton ahor trabaj monoton realment minim casi lectur obligatori signif dificult realentic aprendizaj curs siend mas recom ver docent dificult materi exigent not nivel aprendizaj nivel exigent baj not final depend parcial ultim posit negat dificult mism alta """"", obstant dej ser alarm depend unas cuant pregunt not final monotoni clas not final depend alarm depend unas cuant pregunt parcial not final',,,,
b'buen clas abre ment especial histori cuent grup econom pais val pen leer material curs',,,,,,,
b'buen profesor vec actitud extran cumpl cabal tem aprend monton aprendizaj actitud',,,,,,,
b'ampli conoc vision critic buen bas investig desarroll tem organiz requier dedicacion profundiz tem',,,,,,,
b'mal docent respet horari da informacion sac not import trav aplic red social maner poc enter taller sol esten pendient acces internet dej parcial much oper pid hoj trabaj men hor nadi termin parcial tras hech siempr lleg tard injust rar',,,,,,,
b'preocup cad estudi',,,,,,,
b'excelent profesor buen dinam clas dinam propon activ extracurricular explic bien tem concept exoner exam final',,,,,,,
b'excelent profesor entiend explic siempr hac retr alimentacion vist parcial complic',,,,,,,
b'are merc mejor profesor facult entiend explic clas entreten interact usa ejempl tem interioriz metodologi sencill',,,,,,,
b'execelent profesor clas evalu dinam divert creativ sab motivacion incent buen lid signif facil comentari vec hac chist machist',,,,,,,
b'mejor profesor explic sup bien amig estudi conoc tem muestr facil absolut prof manej tem parcial poc dificult organiz cronogram academ clas dinam',,,,,,,
b'excelent docent domin tem mercade esfuerz hac clas entreten lectur asign interes pued aprend disponibil respond estudi ningun val pen tom clas docent',,,,,,,
b'realiz resum clas pas parcial facil calif rap utiliz bastant ejempl explic tem lleg tard clas',,,,,,,
b'conoc explic bien gener inter empati estudi desvi tem parcial lectur habl clas',,,,,,,
b'buen profesor metodologi trat ser pedagog pon resumen tod clas asegur hac lectur dich resumen man parcial trav moodl',,,,,,,
b'general buen profesor acces lle pued pregunt cualqui dud hac estudi leer bastant da bien bas movimient contabl vec exced comentari personal',,,,,,,
b'excelent docent recomend ver derech laboral explic tem pacienci ejempl parcial sencill correspond vist clas abarc tem program atent respond dud',,,,,,,
b'resen parec prepar mism vari gust perdi tiemp taller aport cubr tem import facil clas hac estudi hiz',,,,,,,
b'mejor profesor ver fundament finanz explic bien atrav taller tem qued clar trabaj final grup parcial ejercici explic ton voz baj si hac atras segur pierd mit dic',,,,,,,
b'jair buen profesor vi merc prof sab muchisim marketing experient amplisim par recordar cad clas explic tem bien tal ves conocedor mas joven tem clas explic ejempl vid experient mayor part ... si particip clas segur obtendr buen not da nunc retroalimentacion ego mas grand cualqu not semestr resumen import sol import quiz minut analisis sector',,,,,,,
b'buen docent gust ensen prep clas dedicacion usa material activ cobr fotocopi activ prep bien activ clas respet fech parcial llam list just va clas',,,,,,,
b'excelent profesor escueler not gran preparacion empen clas',,,,,,,
b'abord program materi total respond dud form respetu esmer estudi entiend temat abord parcial net memorist',,,,,,,
b'facil entreten tem interes hermet vec unic respuest correct quier',,,,,,,
b'si verd quier aprend jair deb met',,,,,,,
b'... materi iste presentacion taller individual grupal hac clas amen trat explic clarid tem materi extrem facil aprob siempr lleg minut tard desconoc retroalimentacion taller poc taller semestr asi not materi volatil falt clas program curs termin pues ausent impid dict tem total',,,,,,,
b'explic tem program maner facil entend parcial sencill parcial facil profundiz tem',,,,,,,
b'bastant buen profesor manej bien clas siempr lleg prepar explic clar ahor dud coloc algui evident hag trabaj present form mediocr',,,,,,,
b'entiend explic parcial dificil aunqu sient falt profundiz ciert tem',,,,,,,
b'pues man bacan buen gent hac escueler dej mont alumn activ infantil apasion ensen materi realid hiz atract relaj pues senti perd credit not pued qued alta cinqueabl jart clas dej mont escueler activ pued lleg ser ridicul perd credit',,,,,,,
b'mejor profesor finanz avanz fce clas profesor acun suel hac much pregunt tem vist fundament contabil cost fundament finanz basic ten buen bas contabil pod entend mejor materi parcial suel ten respuest detall estudi llam casc si tom not dich clas hac ejercici profesor recomiend pasabl materi recomiend asist monitori',,,,,,,
b'met fundament pens si interes contabil van pas facil si gust mas van dej not alta prof siempr resuelv tod dud respond amabl metodologi aplic parcial hac dificil',,,,,,,
b'peor profesor carrer dud calid academ facult tip docent carg materi indispens carrer curs control intern facil aprob intent respond dud extrem impuntual punt lleg minut tard clas aprend control intern respet cronogram plante inicial material estudi entreg tiemp antelacion evalu dispers clas traduc repeticion innecesari ejempl concept teoric',,,,,,,
b'buen prof gust tem molest pon atencion clar monitor fastidi bien gust tem buen prof calif dificil',,,,,,,
b'buen profesor siempr repas vist sesion anterior parcial facil sol bast prest atencion cas',,,,,,,
b'germ gran docent argument bien gran domini tem pued aprend clas buen usa diaposit concept basic tem posterior encarg explic exigent respetu organiz puntual clas entreten hac chist relacion materi si entendi bien tem siempr dispuest volv explic aprend examen altern semifacil energumen much casc tramp pon prueb perici astuci',,,,,,,
b'explic bien tem ayud exig bastant',,,,,,,
b'profesor claudi excelent profesor opinion vi fundament contabil financ prim semestr parec logr cubr buen maner tem curs dej bien prepar siguient semestr calificacion sac not parcial cual mayor dificult toc men estudi bibliograf pon atencion clas ten tem clar principal conceptual ), monitori bas taller chistos ayud van mal',,,,,,
b'demuestr ampli conoc tem abord ve program curs total relacion topic curs actual colombian parcial complej compon vist clas metodologi evaluacion vari transcurs semestr',,,,,,,
b'clas buen contrari pensari centr ambit empresarial docent dej concept realment clar activ interes',,,,,,,
b'primer materi tom elect busc curs introductori agrad qued decepcion freddy buen docent aunqu pas usand diaposit logr dar tem ladrillud contabil form amen ayud monitor complement perfect sab dar curs introductori experient profesional jueg papel import trat bien pertenec fce tem contabil larg complic',,,,,,,
b'empez ser profesor decent lueg prim parcial cancel estudi vec clas habl cos interes explic bien asum sab respond pregunt',,,,,,,
b'profesor buenisim mejor materi amabl present cos dej entreg despu clas amen',,,,,,,
b'companer llam imbecil trat mal estudi usa pod not aplast final semestr regal not depend cae bien mal',,,,,,,
b'macr genial prim curs desarroll intuicion econom sab gui bien estudi camin muestr contr model preocup aprendizaj mism clas divert entreten parcial sencill concis',,,,,,,
b'buen profesor tem igu entend evaluacion dificult demasi mayor ejempl lleg hac clas trat estudi pesim resolucion dud mayori cas maner groser calificacion trat estudi',,,,,,,
b'sis veo pech echa vez entendi cos dij verd inscrib',,,,,,,
b'buen profesor excelent dinam grup preocup tem entiend usa ejempl practic interes hac entend excelent explic',,,,,,,
b'moment peor curs materi unic dedic repet tem cad clas logr atra inter men logr avanz tem discusion import crecimient econom',,,,,,,
b'profesor ensen divers tem microeconomi inclus result ser dens curs macr med va viend dem macr polit macroeconom mas da cuent ensen moren fundamental import curs razon logr afianz concept quiz pued ser insegur form dict clas si aprend',,,,,,,
b'profesor ces aunqu parezc anticu lexic orient form excelent materi dad interdisciplinaried oblig form grup pued exist person mism carrer grup ). procur escog buen monitor lleg orient part curs dificil estudi ajen fce evalu pid quic lectur extens proyect final mayor pes sab dar tem dej dorm mantien conect da buen retroalimentacion dej grup amig mism carrer esten mism grup lectur larg avec ladrillud',,,,,,,
b'buen profesor abord correct tem buen fundamentacion camp economi sab explic bien contest adecu dud clas torn aburr dinam aul',,,,,,,
b'profesor excelent adem ser econom mas destac pais docent total rigur innov ejercici docenci sol acompan carismat personal profunun profesor excelent adem ser econom mas destac pais docent total rigur innov ejercici docenci sol acompan carismat personal profund entend tem sin tambi cuent arsenal tecnic pedagog garantiz entend tem complej maner sencill estudi asert respetu estudi encuentr fronter conoc tantement innov implementacion herramient tecnolog aprendizaj evaluacion estudi do entend tem sin tambi cuent arsenal tecnic pedagog garantiz entend tem complej maner mas sencill estudi asert respetu estudi encuentr fronter conoc tantement innov implementacion herramient tecnolog aprendizaj evaluacion estudi',,,,,,,
b'clas interes profesor realid manej tem bien metodologi buen desord posibilit buen aprendizaj metodologi tall participacion clas grup grand',,,,,,,
b'si estudi pued dej enfoc histori econom sab demasi economi polit aunqu divag car explic punt clav habl suav divag ide explic profund ortodoxi pued ser perjudicial curs',,,,,,,
b'prof aburr hac chist mal si usted medi descu escuch habl arab deb pronunci bien espanol clas aburr verd repit parcial cad semestr parcial facil rest cos pail',,,,,,,
b'profesor sab bastant divag clas dan suen manej bien tem divag da suen',,,,,,,
b'ferr personaj algui expres retor elocuent clas tabler lectur cpmplej larg final util hac control lectur form pregunt azar proyect ayud lueg parcial curs much gent impid desarroll mejor clas estres facil',,,,,,,
b'profesor dificil dificil diger clas cas compart punt vist deb catedr cort marxist embarg refier clas mal pues principi dej clar punt critic corrient domin senal mejor marxism segun evit ciert tem aunqu pued juag debat diccion abiert debat voz baj marxist',,,,,,,
b'excelent profesor tiend conoc profund sol camp sin tambi tem general especif economi are excelent person envi punt parcial solucion casi con transcrib respuest lleg dia parcial calif just imparcial respet punt vist opinion calif argument proced respuest si mism lectur sup entreten chever lectur sol gust cad person si dese profundiz algun are excepcion lectur necesari respond unic tres quiz realiz trat ende necesari desarroll curs sistem punt participacion respresent not materi si sirv subif rla not remplaz algun not mal quiz punt otorg simpl echo pregunt coment opin import si pregunt complej sup elemental objet incentiv estudi perd mied decent mas abiert buen profesor form calificacion sup suav obstant aprend muchisim materi pued dej sup alta neces dedic tiemp sab muchisim calif sup suav materi conten teoric ampli hac aburr ocacion',,,,,,,
b'excelent profesor aunqu desord tem explic bien pregunt mencion explic bien ayud ensay prest libr da bon dificult plasm ide tabler hac letr entiend hac lin cuadr desorden ensay final hac falt retroalimentacion calif sab qued bien deb correg',,,,,,,
b'preocup estudi interioric concept basic ahi pued ser repetit clas tras clas parcial facil parej avec dej sac apunt',,,,,,,
b'buen docent buen person explic clar eficient uso exces diaposit',,,,,,,
b'tod clas realiz resum lectur clas torn aburr repetit parcial memorist',,,,,,,
b'parec pedant cas apasion ensen vec arrog',,,,,,,
b'excelent docent amabl expert tem trat flexibl calif amabl ton voz baj clas torn aburr',,,,,,,
b'aunqu tem pued identific sesg conten clas general aprend bastant evident gran apreci activ docent',,,,,,,
b'genial mayor cos',,,,,,,
b'pesim docent trat ejemplific tem repit demasi tem vist complet program curs parcial ambigu',,,,,,,
b'excelent profesor domin demasi tem demasi relaj tem calif',,,,,,,
b'buen profesor hac clas amen not pasion docenci falt bastant clas',,,,,,,
b'excelent profesor procur siempr estudi entiend ensen aprend muchisim materi hac clas tan monoton buen actitud carismat dur calific cuent estudi facult cienci econom trat lectur tan complic',,,,,,,
b'profesor dinam simpl libr apoy present diaposit libr clas cuent histori hac amen clas logr llam atencion si lees libr estudi atencion pued pas alta divert relacion tem realid desorden calif entreg not tard taller fech orden',,,,,,,
b'excelent person apoy estudi motiv progres inici clas pued ser aburr abrum especial form escrib hac apunt tabler obstant vez adapt metodologi empiez cog ritm gust clas leer especial quiz parcial larg pur memori realiz parcial oral estudi pretenci egocentr respect conoc titul ume tiemp especial preparacion ensay ejo hag clasic monitor carg calif sup dur tem relacion clasic',,,,,,,
b'profesor hoy enorm conoc econometri explic bien tem diaposit concis siempr amabl resolv dud horari atencion extracl taller sirv profundiz temat parec mal profesor asistent martinez sanabri ), suponi debi ensen manej lenguaj deficient not teni ide program sol limit copi peg codig',,,,,,
b'mejor profesor carrer economi preocup realment aprend concept vist clas gran maestr gran person sient inmens gratitud haci cre profundiz conoc economi polit histori pensamient econom proxim part haci unid facult pierd ..... tal vez demasi',,,,,,,
b'conoc tem material clas metodologi clas',,,,,,,
b'amabl sab tem problem explic much vec qued habl tem clas vuelv aburr cre aprend regal bon participacion abiert pregunt amabl pued dej alta aprend enred calif relat complic',,,,,,,
b'buen profesor clas interdisciplin aprend text larg deb esforz credit materi cuant not cruel just sab much experient loc ten pacienci',,,,,,,
b'excelent docent apasion carrer explic clar form sencill clas sup entreten necesari leer material clas entend tem apasion explic bien sencill clas entreten nunc aburr distra falt regular obstant tem dan',,,,,,,
b'pes grup tan grand estudi dedic buen part clas resolv dud da ejempl aclar tem profesor mas amabl facult',,,,,,,
b'buen prof hac activ comun dej buen cos especial part practic',,,,,,,
b'mas charl ejemplific tem vid real parcial especif apunt autor suministr program leer material complement clas pued llev alta abarc tem mayor teoric habl desarroll clas reflej conoc vec extiend mas puntual',,,,,,,
b'sorprend dad premi mejor profesor mund amabl respetu parcial total just facil pas general da mejor explic julioprof materi ideal aquell quier sub pap explic bien pap facil ningun excelent',,,,,,,
b'excelent profesor macroeconomi limit teori libr puest exig contrast teori coyuntur pais siempr dispuest explic tem entend',,,,,,,
b'gran profesor mejor maestr facult clas siempr parec entreten lectur interes amabl interes estudi entiend tem',,,,,,,
b'materi aburr entreten prof arrog vec humill estudi culp sab aprend memori inclus vec ser catol profesor logr manteng atent clas clas si terribl dens entonc memoriz concept',,,,,,,
b'hombr geni',,,,,,,
b'buen gent sab buen docent clas aburr explic bien depend diaposit parcial ambigu cas premi buen desempen aburridor',,,,,,,
b'excelent profesor trist vec arrog form expres sab demasi',,,,,,,
b'complic calific profesor benavid pareci buen intent explic aplicacion concept microeconomom embarg pregunt parcial parec ambigu',,,,,,,
b'clas pierd inter metodologi profesor ritm sesion experient profesor ampli valios clas realment',,,,,,,
"b'aparec parcial mencion anterior clas explicit facil pas demasi esfuerz dej alta met empen examen relat suav apasion economi punt vist heterodox clas conferent """, sol pas habl dos hor economi lleg punt dej prest atencion duerm lleg ser tedios',,,,,,
b'buen profesor clas dinam entreten aprend',,,,,,,
b'peor person mund siqu si llam docent materi porqueri llegu tir qued sab not final sol ver prim parcial sab unic form pas ten cul pa mostr lam gan',,,,,,,
b'buen profesor diaposit',,,,,,,
b'ment agud excentr viej',,,,,,,
b'apasion ensen buen profesor da bastant apoy proyect final',,,,,,,
"b'groser maleduc dic merc tierr preci negat merc comport dem "".'",,,,,,,
b'domin tem tip inteligent mal caract carec empati',,,,,,,
b'gran docent manej clas gran profesional puntual respetu haci estudi erva orden moment impart clas si entiend tem clas tom molesti explicart oficin hac casual chist clas demuestr pasion ensen definit buen docent clas pued provoc suen arregl mastic cicl',,,,,,,
b'excelent profesor domin profund cad tem dad clas abiert estudi preocup entend tem part estudi cuent grand habil pedagog hac uso innov herramient tecnolog clas siempr introduc estudi tem relev part practic tem teoric adem inspir estudi gran oratori conoc profund tem gran oratori buen habil pedagog ningun',,,,,,,
b'profesor dedic hab dos hor dic interes materi realment pued aprend siempr gust economi pon atencion parcial vay bien pued pregunt cualqui cos siempr sabr respuest ton voz baj siempr lleg minut tard',,,,,,,
b'excelent docent dedic tiemp calific correg retroaliment estudi form individual grupal absolut imparcial just calif excelent docent materi ume tiemp asi ser organiz tiemp si quier dej alta prep clas rigur respond tod dud import pregunt calif just imparcial dedic tiemp alumn explic bien tem entiend perfeccion cumpl cronogram fech dan inici semestr cumpl',,,,,,,
b'sab demasi nobl estudi abus',,,,,,,
b'gran profesor maestr si algun vez oportun tom clas dud hac clas libr recomend tambi permit comprend apreci maner clar profund sol concept teori detr microeconomi sin tambi perspect histor especial critic gran manej tem carism motiv estudi interes microeconomi teori jueg',,,,,,,
b'si usted quier hac profesor supuest exig prepares par pagin lectur mejor seman peor genial lleg lug oyen opiniion bander cienci vision mund aport racional haberm llev extrem vuelv autoritari malinterpret matemat mism juzg deb hac tant lectur realment vision mund pued aprend primer mes lueg repit cuent vari vec mism histori hoy hoy cans ejempl situacion venezuel usa tramp argumentacion ... fin da cuent autoengan vec ortos dic jact humild realid vec muymuy arrog aprend genial apertur univers realment universal encant oir opiion medicin cienci human artes dem parec ridicul nadi altur hech entrar razon tant libr tiemp ultim parec superficial tratamient si quier debat carrer tiemp leer libr filosof alli bienven probabl buen not aprendizaj rest pas ladit mas peligr aprend politc encontr algui dic respuest problem',,,,,,,
b'domin tem clas contrareloj estres gust atend alumn',,,,,,,
b'parcial compon vist clas monitori asistent factor obligatori pedagogi docent pued reemplaz facil libr gui curs',,,,,,,
b'mejor docent facult pon empen estudi entend microeconomi aunqu clas bas diaposit siempr pon disposicion alumn material escrit algun excelent libr',,,,,,,
b'materi depend complet anim sujet semestr regal promedi parcial nunc super irrespuetu aroog',,,,,,,
b'met pech echa',,,,,,,
b'buen tip ensen bien hiz poc dinam interes general clas bas libr si lee apriend mas parcial dificil pued ser buen onda as vec rud gener inter ensen mal parcial sup dificil',,,,,,,
b'profesor ser necesari hac dibuj hac explic pacient cient elect tom estudi vari carrer estructur problem agrari',,,,,,,
b'profesor sab demasi conflict armad colombian mism apasion logr transmit estudi program lectur chever goz unic feo mayor part tiemp unic tom palabr',,,,,,,
b'profesor demuestr gran domini tem habil comunic ensen curs',,,,,,,
b'profesor increibl apasion pensamient econom explic form tan interes complement lectur conoc tan grand pose tambi buen deb interes sab opinion estudi compromet clas interes estudi dificil pas vec clas torn aburr da demasi espaci opinion estudi',,,,,,,
b'excelent profesor apasion ensen cambi total concept metodologi investigacion clas aburr si trabaj val dos credit deberi val mas excelent clas aspect',,,,,,,
b'conoc tem resum habl tabler import parcial dur clas aburr',,,,,,,
b'buen profesor explic bien sol usa mankiw da entend si bien esencial curs basic model mas real acerc macroeconomi desvi tem cuent vid cad clas aburr da punt extra vari taller taller parec parcial experiment parcial pon cascarit',,,,,,,
b'buen docent manej tem interes entreg not tiemp',,,,,,,
b'mejor profesor facult siempr preocup estudi aprendier clas gran person sient feliz hab pod ser alumn nacional ultim coleccion libr microeconomi magnif',,,,,,,
b'buen profesor import not preocup estudi aprend temat curs general cos deberi sab algui gradu univers elit cos etiquet administracion presentacion clas didact trabaj grupal profesor complet recomend buen profesor preocup estudi not problem',,,,,,,
b'profesor luis lorent sid mejor profesor carrer tom curs estudi intercambi facilit much herramient ver crecimient econom punt vist mas heterodox lastim reconocient merec termin academ colombi vast conoc tem tod perspect posibl',,,,,,,
b'excelent profesor mejor curs carrer excelent critic intern extern economi clasic neoclas monitor calific parcial',,,,,,,
b'excelent docent tom tem complic vuelv sencill',,,,,,,
b'excelent represent marxism capac exposit impresion desarroll temat mas ayud memori nunc equivoc clas apta neoclas neoliberal excelent exponent marxism present bas teoric escuel econom segun context histor',,,,,,,
b'materi facil aprob .. sol va clas leer diaposit arrog trat estudi',,,,,,,
b'buen person ayud mal metodologi extiend pregunt irrelev repit siempr dich adem parcial ambigu ayud buen person aprend parcial ambigu clas demasi aburr',,,,,,,
b'buen profesor muchisim pasion materi mejor clas semestr aunqu pm maner dict sesion fascin aunqu toc met toood examen materi si tan dificil monitor buen tambi dio dulc falt much clas',,,,,,,
b'eficient much clas air solemn hac respet pued ser arrog',,,,,,,
b'profesor toc leerl personaj clas entreten siempr prepar trabaj final calif dur general buen profesor',,,,,,,
b'preocup estudi entiend puntual horari ayud muestr inter clas calif dur',,,,,,,
b'excelent tecnic jubil',,,,,,,
b'profesor arrog much segur embarg sid moment mejor carrer sol aprendi academ habl sin vid profesional profesor dur dic estudi irrespons adem form ver foment bien critic torn teori econom logr sab tem excelent clas aburr materi exigent just materi parec dens vec arrog',,,,,,,
b'materi ofrec posgr pregr nivel lecur mayori ingles alto embarg materi buen ten introduccion tem mas avanz carrer parcial pap facil',,,,,,,
"b'aparec parcial mencion anterior clas explicit facil pas demasi esfuerz dej alta met empen examen relat suav apasion economi punt vist heterodox clas conferent """, sol pas habl dos hor economi especial histori econom ), lleg punt dej prest atencion duerm lleg ser tedios divag va gran direct',,,,,
b'facil dej alta asignatur charl interes except aquell atraig clas total habl hor aprend dej alta asiggnatur aprend gent duerm poc neces estudi autonom pro depend person lea',,,,,,,
b'pesim profesor tem bien complej val dict minut contest mal maner dud parcial impas arrog final pas quier pedagogi clas monoton final aprend na da si form mediocr',,,,,,,
b'excelent prof sab demasi viv apasion docenci economi',,,,,,,
