comentario,nota
"buena profesora, pero hay que estudiarle , las presentaciones son buenas, pero la materia en si es densa.Pros: buena gente, Cons: hay que trabajarle bastante",3.0
"Es una profesora muy buena. demuestra sus conocimientos en matemáticas, haciendo ver la materia muy fácil. 
Explica por medio de una tablet que proyecta en video beam (que para mi a veces era cansón o un poco aburrido porque a veces uno pierde el hilo).
Las clases son claras, explica el tema de una forma muy clara y amena que es muy entendible por cualquiera. desarrolla los ejercicios al mismo tiempo que los explica. Si uno tiene dudas ella a uno lo escucha y trata de solucionar esa duda. 
Hace talleres que sirven para subir el 25% de la materia, que facilmente se puede sacar 50 en los talleres. No es tan dura calificando los talleres, ya que mira tanto el procedimiento como el resultado, y si hay errores pequeños no baja tanto por eso.
Támbien hace talleres preparciales que son de mucha ayuda, además de ser muy similares al parcial. Es bueno hacerlos, aunque algunos son largos
Por el uso de la tablet sube lo que escribe en las clases en formato pdf, que siempre están disponibles para estudiar.
los parciales son algo muy curioso ya que son de dificultad elevada pero pasables. Además de utilizar siempre ejercicios un poco complejos que a veces te harán decir ""que porquería de ejercicio"", sin embargo es ponerle empeño y se soluciona.
Ahhhh, y acostumbrate a hacer ejercicios con identidades trigonométricas, exponenciales y logaritmos. ella ama ese tipo de problemas.
Hasta el momento fue una muy buena experiencia en la clase.

Profesora muy, pero muy recomendadaPros: 1) sube las clases
2) Es buena gente
3) es amigable además de hablar con los estudiantes de cualquier tema (desde que no interrumpa la clase)
4) Muy buena explicación y dominio de tema. (saca procesos muy asperos para desarrollar los ejercicios)
5) Se aprende mucho, incluso demasiado.
6)Ayuda a los estudiantes con las notas.Cons: 1) a veces llega tarde por tener clases en otra universidad.
2) se demora mucho en calificar, y más para entregar las notas
3) Es un poco desordenada
4) los parciales pueden ser a veces complejos, pero no imposibles.",4.2
"Epifanio no se podría catalogar como un mal profesor. Maneja a la perfección todos los temas de la clase y hace su mejor esfuerzo porque sus estudiantes los manejen también. La mayoría del tiempo de clase consta de ""ejemplos-ejercicios"" para ilustrar los conceptos que está explicando. Sin embargo, el mayor problema que tiene, y el motivo por el cual no lo recomiendo, es que los parciales no se parecen ni a los Quices ni a los ejercicios de clase. Los parciales constan de ejercicios mucho más complicados o incluso tratan temas que no se profundizaron en clase. Además de esto, Epifanio es estricto con el uso de celular en clase e intenta captar la atención de los estudiantes verificando uno por uno que estén trabajando.Pros: - Explica bien
- Resuelve todas las dudas en clase
- Los Quices son parecidos a los ejercicios en clase
Cons: - Los parciales son muy difíciles y pueden incluir conceptos que solo se mencionaron en alguna clase
- Escuelero",3.5
Exageradamente exigente. Es muy díficil aprobar una materia con élCons: Deja estudiantes con 2.9,1.5
"En general buen profesor. Hay que estudiar bastante por cuenta propia, pero lo explicado en clase como base es bastante bueno.  Pros: Respeta las reglas de juego acordadas al inicio. Incluso da varias oportunidades de mejorar la nota.  Cons: Su tono de voz no ayuda. Alguna vez colocó un ejercicio de complejidad bastante mayor a los que había explicado.",4.0
"Es una buena profesora se nota que sabe bastante, la clase se realiza desde una tablet que es como el tablero de ella, explica bien y realiza ejercicios de lo que explica los parciales son algo largos pero trabajables califica suave no estan estricta si hay errores pequeños, regala bonos en el ultimo parcial y practicamente la nota de talleres 25% es un regalo.Pros: todas las clases las sube a un drive en formato pdf para poder estudiar.
Es muy amable y trata de resolver las dudas para que se aprendaCons: llega tarde a clase 20 min o mas 
Es desordenada con las calificaciones y se demora en entregar los parciales 
en ocaciones va rápido con los temas",4.5
"Explica muy bien y a pesar de que sus clases las maneja con diapositivas no me parece un método malo , inclusive el estudiante puede revisar la clase en el moodle paso por paso como ella la dicto en clase.Pros: Explica bien y usa buenos recursos y ejemplos , da un bonus para nota de quizesCons: parciales muy dificiles o muy largos",4.0
"Explica lo suficiente en su clase, no se sale del libro. Hacia quices cada clase con muy poco tiempo pero ejercicios cortos. Cuenta historias que poco tienen que ver con la clase. Sus parciales son sencillosPros: Parciales facilesCons: Llego tarde la mayoria del semestre
No se sale del libro guia",3.3
El peor profesor que ge tenidoPros: RelajadoCons: El resto,1.5
"Explica bastante bien, tiene verdadero interes en enseñar a pesar de lo dificil que es en una magistral, los parciales estan bien.
Al final ayudo a todos con un par de decimas (Por acercarse navidad)Pros: Metodologia
Clases",4.7
Facil y buena gente aunque no se aprende mucho,3.0
"El profesor es buena gente, enseña bien y las clases son amenas con él. Pros: Buena gente",4.5
"Buen profesor, es paciente, explica bien y da varias ayudas siempre y cuando se vea el interes y el esfuerzo",4.1
"Basa sus clases en el Thomas,  explica bien en general, deja muchaaaas tareas , pero sirven para estudiar...  los parciales son fáciles , sin embargo es muy estricto calificándolos. Como persona si es muy regular.",3.5
"En este curso fue muy buen profesor, todos los temas se dicataban con claridad, y muy dispuesto a despejar dudas. La metodología consistía en dos clases magistrales (en esa época tocó en el auditorio de Biología a las 7 am, lo cual promovía el sueño)  y una de taller con un estudiante de Matemáticas de posgrado. Se puede dejar alta sin mucha dificultad. 
No le gusta que hablen en clase, ya que no faltan los que llegan a hacer visita.",5.0
"LO MALO:
La verdad, en clase no explica muy bien, su nivel de voz es muy bajo, va muy rápido y digamos que enseña y se expresa como para un público con conocimientos avanzados, por ende a la gran mayoría se le dificulta entender y más si son de carreras poco afines a las matemáticas; es complicado ir al ritmo de su lógica; si no eres tan bueno se te va a dificultar mucho, toca ser muy autónomo y estudiar por nuestra cuenta si queremos entender medianamente bien.

En los parciales es muy difícil, las preguntas son muy ambiguas, como decimos coloquialmente, le gusta poner mucha cáscara, los ejercicios muchos se ven muy rebuscados y es más teórico que otra cosa, es difícil saber qué esperar en sus exámenes.

LO BUENO:
Ofrece opciones para subir notas si ve que las personas están mal, en ese sentido es comprensivo.Pros: Puntual
Chistoso en clase
Amable
Ofrece alternativas (talleres, quices, notas de asistencia) para mejorar las notas.Cons: Si hay uno o dos estudiantes que le entienden y le participan, él parece que le dictara clase sólo a ellos y rige el ritmo de aprendizaje y avance de los demás conforme a esos pocos.",3.7
"Vi clase con él en el 2013, y me pareció buen profesor. Explica bien y atiende a las dudas de los estudiantes. Deja talleres que en verdad ayudan bastante para entender los temas, y los quices y parciales son absolutamente trabajables. Tal vez el problema es que la materia fue en un auditorio y fue para 90 personas, por lo que tal vez no había el suficiente espacio para atendernos a todos; pero me parece que es buen profesor.Pros: Quices y parciales trabajables",4.0
"No lo recomiento a menos de que el calculo sea tu pasión, los parciales son muy complicados y largos, a menos de que te dediques únicamente a calculo es dificil pasar con el, nosotros éramos un grupo de unos 10 compañeros en esa clase y solo pasó una compañera con un 3.0, el profe explica bien pero los parciales son complicados",2.6
"Excelente profesorPros: Explica bien
Da todo de su parte para que los estudiantes aprendan",5.0
El profesor Armando es genial. Explica muy bien tiene paciencia y explica los temas con facilidad para que no se hagan pesados. Creo que nunca tendré un profesor mejor que el ademas porque su juventud hace que entienda que no solo hay que dictar la clase si no hacerla chevere. Los parciales son lo que el enseña y si uno estudia le va muy bien. Otra cosa es que uno esta en plena clase y el saca apuntes muy buenos para ilustrar lo que esta explicando  y pues así uno se distrae un rato.,5.0
"Los parciales son fáciles siempre y cuando se hagan los talleres que ella deja.
Resuelve dudas muy bien. Anota un montón de cosas en el tableroPros: Horarios flexibles para atención
Clase amenaCons: Si se queda atrasada en un tema, lo explica muy rapido",4.7
"No sabe explicar tan bien. Califica demasiado mal (En un parcial y tres quizes tuve que reclamar porque ya que califico erróneamente, tanto así que al final me subió media unidad aprox en cada uno después del reclamo) Los parciales son largos y algo difíciles. Se apoya mucho de las diapositivas y no ""enseña"" realmente. Y no da nada de ayudas, absolutamente nada, si perdiste con 2.9 perdiste con 2.9.",2.5
"Uno de los mejores profesores que he tenido, las clases no son aburridas y enseña demasiado bien. El mismo hace pdfs que resumen lo visto esa semana y los envia al correo junto con ejercicios para practicar. Los parciales son lo visto en clase y nada del otro mundo.",5.0
Uno de los mejores profesores con los que usted puede inscribir una materia de matemáticas.,5.0
"Vi con él el curso de Álgebra Lineal. Es fácil relativamente, explica con paciencia aunque a veces se enreda; se aprende lo explicado, pero no mucho, siendo suficiente para las ingenierías. Hace tres parciales, no son muy complicados (aunque el 3ero es el de más cuidado, pensé que sacaría alta nota y pum!).",4.5
"En general es muy buen profesor, no cansa en las clases y s eme hace que sus parciales son justos, quicez de a parejas, como el dice el que pno pasa esta materia es porque no quiere. No regala nada, ahi que trabajarle para ver los frutos.Pros: Muy chimba sus clases",4.0
"Muy buen docente. interesado en que los métodos numéricos no sean solo receta, sino que conozcamos las bases matemáticas en que estos se basan.Pros: Aconsejo tomar  el curso con él. Cons: Deja bastante trabajo para la casa. Pero se aprende",4.3
"como bien dicen por ahi, es una persona muy rigurosa y a simple vista parece buena gente, sin embargo uno termina desconcertado de varias maenras, no es claro con la metodologia de sus parciales se le pregunto varias veces y nunca lo fue, va aser  a mano, sin embargo no son extremedamente dificiles, se consizo, el profesor no perdona ninguna desvia...
Leer más...Pros: ocaml y su forma de programar, realmente lo saca a uno con algo valioso.
no le importan asistentes, o si uno pudo ir a clase.
parece que se anima por los temas, e intenta darle amor a los temas.
tiene momentos de pausa para trabajar en ejercicios y que uno revise lo que esta explicando.
con tiempo,mejor fuera de clase, puede resolver dudas y ser colaborativo
esrapido en entregar notasCons: ocaml y muchas de sus cosas eclécticas que uno entiende sino por su cuenta hasta el final.

es autoritario y temperamental, si ve a alguien con celular lo saca de la clase, parece no recibir con muy buen tono contra ejemplos.
puede montársela, evite incitarlo.
tiene letra muy compleja, háganse en los primeros asientos.
puede que explique muchas cosas pero no se apliquen.
pareciera que por poco trata  a sus estudiantes como inferiores

No es claro con la metodologia de sus parciales, y hubo un ejercicio que nadie del curso pudo hacer.

puede sacar muy pocas notas

puede hacer examen acumulatorio, pero de esos temas que nombro al azar en una clase 2 meses atras",3.5
Pros: Los parciales no son nada complicadosCons: en algunas ocasiones no se entienden los temas explicados en clase.,3.6
"La clase con el man es muy rapida, son clases en las que lo violan con informacion y solo si hace el taller afianza lo que el man enseña, el man en clase le da un mar de conocimientos de 1 cm, pero de lo que haga del taller determina que tanta profundidad le da, las clases son muy amenas y divertidas co n sus historias mks pero le recomiendo meterla con pocos creditos porque sus tallersitos y su terrorismo lo van a poner a parir, a mi me paso que la parte en la que se esfuerce estudiando va a aprender muchisisisisisisimo, pero tenga cuidado porque el man sabe quien es quien en su salon y no se si el se de cuenta por las consultas quien trabaja y no califica tan fuerte, me parecio brutal su clase, excelentePros: -Talleres de tiempo pero que esnseñan muchisimo

-Parciales sobre 6,0, haciendo el taller a conciencia se asegura un 3 y muy buenas posibilidades de dejarlo sobre 4,5 

-Da mucho tiempo para asesorias, en  nuestro caso martes de 2 a 7 pm

-Parciales que salen del taller y uno que otro punto que le parece interesante, y como ya dije sobre 6 pero no significa que sea facilCons: -Si no hace si quiera un poco de los talleres yaper.

-talleres de mas de 170 puntos por tema, tiene que aprender a seleccionar hasta donde hacerlos.

-Por nada, oigame, NADA, saque el celular en clase, el parcial pasa de estar sobre 6  a 4,5 y se lo califica ""con lupa"", es decir mas de 2 es mucha ganancia",5.0
Trata de dar una enseñanza integral de los temas aunque a veces no los sabe transmitir bien  y se enreda un poco. califica los parciales justamente. hace quices cada ocho dias faciles si se repasa y los talleres que manda es importante resolverlos ya que de estos salen los parciales.Pros: Trata de enseñar integralmente. resuelve las dudas en momentos extraclase amablemente.Cons: se enreda en clases. se extiende demasiad en la resolucion de preguntas lo cual hace que se pierda tiempo y luego se avance a la carrera.,3.5
"Es buen profesor, explica breve. Los parciales salen de los ejercicios del libro, 0 sorpresa. Pros: No se complica con demostraciones. Explica bien, se le entiende.
Saca los parciales y quices del libro.Cons: Hay que hacer todos los ejercicios del libro TODOS. 
Sus chiste son pesimos, trata de ser gay fiendly pero se nota muy forzado. Omar sigue intentando.",5.0
"No se le puede preguntar, se enoja por eso",2.0
"Sus explicaciones son muy enredadas, pero es bueno respondiendo dudas aparte y cuando es en grupos más pequeños. Es un poco desorganizado con la clase y siempre llega muy tarde pero cumple con las fechas estipuladas. Sus parciales y quices son bastante fáciles. Deja talleres para entregar en grupo. Es mejor estudiar bastante de forma autónoma si se quiere aprender y no quedar con ""huecos"".Pros: Es fácil si ya se sabe algo del tema o se es repitente. Cons: Habla muy bajito.
Explica enredado. 
Puede preparar más las clases.
Es super impuntual.",3.2
"Pros: Sabe el tema, enseña bien.Cons: Acosa a las estudiantes.",1.0
"Muy buena explicando, no se enreda y se preocupa por que se le entienda. Envia el trabajo suficiente para realizarlo y entender bien el tema. Sus parciales se hacen comodamente en el tiempo dadoPros: Explica bien
Didactica
Califica justamente",5.0
"Pros: -Ayuda cuando se va mal.
-Se deja hablar en las revisiones de los parciales (Si hay algo que no esta tan explicito y se le explica, el lo vale)Cons: -Las explicaciones que da en clase son muy confusas.
-Llega tarde a las clases (media hora).
-Cuando deja acumular temas, los comienza a explicar muy rapido y superficial, pero luego si pide que se resuelva puntualmente",2.9
"Es una profesora muy organizada con los temas que dicta en clase, pero toca estudiar mucho tiempo extra y asistir a los horarios de atención si se quiere tener una nota alta. Permite una participación abierta en clase y en mi caso, en cada corte, la profesora hacía actividades (quizzes, talleres, demostraciones) para recibir puntos de bonificación ...
Leer más...Pros: Permite la participación en clase, presta muchas horas como horario de atención, hace actividades de bonificación que suelen ayudar bastante, es organizada y entrega los parciales a tiempoCons: Toca estudiar mucho tiempo y por el tipo de parcial, no siempre se obtiene la nota esperada",4.8
"Explica claramente los temas, solo son parciales y envia talleres para repasar. Se quedó un poco en terminos de tiempo con los demas grupos pero logro reponerlo y exponer todos los temas de la materia.Pros: Explica bien, atiende cualquier duda.Cons: La clase podria llegar a mayor profundad en cada tema.",4.6
"Tiene un trato cordial, se nota que prepara la case y sabe de lo que habla. Requiere estudio autónomo. Cada tema que explica sale en el parcial, aunque sea un punto. Es una materia de la que no se debe confiar por lo facil que aparenta ser. Pros: Buen nivel de voz 
Organizado 
Parciales Justos Cons: Hace chistes malos :v",4.0
Hay que ser un genio para aprobar una materia con élPros: NadaCons: Todo. Sus parciales son tremendamente difíciles,1.5
"Personalmente me parecio uno de los mejores profesores, tiene una metodologia para enseñar muy buena y se le entienden perfectamente los conceptos, domina muy bien la materia y es bastante amable.Pros: Amabilidad, dominio del tema, entendimiento de conceptos dificiles ademas sus parciales me parecen bastante justos pregunta lo que enseña.",4.6
"Es una excelente profesora y es muy amable con los estudiantes. A veces es complicado entender su letra pero esto no afecta el entendimiento de los temas. Los parciales se pueden preparar fácilmente haciendo los talleres que deja. Se demora bastante calificando los parciales, debido a que a cada persona le escribe en qué se equivocó en cada punto. Hay veces en las que se toma la clase para resolver ejercicios y elige estudiantes al azar para que los resuelvan, o contesten preguntas que ella hace. Durante el semestre ella toma lista de asistencia rara vez, pero la usa al final de semestre para el 10% de la materia, es decir, si siempre se va a clase, se tiene el 10% de la materia asegurado. Siempre tiene horario de atención y lo cumple.Pros: Amable. Sabe bien lo que enseña.
Parciales manejables.
Clases de resolver dudas.
Cumple horario de atención.
Nota por asistencia a clase.Cons: Legibilidad de la letra
Demora en calificar parciales
Porcentajes de parciales altos (30%)",4.5
"Es un asco de persona. Es rajón, califica de manera arbitraria, es decir, por cara. No se le puede hacer un medio reclamo porque lo considera un insulto. Las clases son supremamente aburridas, no tiene nada de pedagogía. Definitivamente el peor profesor que he tenido en mi vida.Pros: NadaCons: Todo. No metan con él.",1.5
"Pros: Sube las clases 
Casi no tiene en cuenta la asistencia Cons: Es muy desordenada
Llega tarde a clase
Se demora en calificar
Los parciales son complejos",1.5
"El mejor profesor para el curso de Fundamentos de matemáticas, y posiblemente del Departamento de Matemáticas. En Fundamentos se hizo énfasis en la teoría cantoriana de conjuntos; fue una introducción genial a la carrera de matemáticas, nunca faltan las anotaciones históricas y la perspectiva global -en justa medida-. Cuatro parciales no tan complicados, el curso se basa en el libro de su misma autoría, y se puede dejar sobre cuatro si se trabaja.",5.0
"Es un maestro excelente.Pros: Explica super claro, las clases son amenas y es inspirador en los temas que dicta.",5.0
"Este profesor es una Madre y su humor hace amenas estas clases que pueden ser tan pesadas, los talleres que deja , aunque no den nota ayudan mucho con los parciales y hasta quizes, no da sorpresas desagradables con ejercicios imposibles, En mi caso logramos ver todo el temario básico, pero he escuchado que con otros profes el curso es más completo. Si estudia de forma autónoma y lleva dudas, es posible dejar la nota muy alta",4.0
Es un excelente profesor de los mejores de la universidad,5.0
"Corre en la clase, ni voltea a mirar. 
Califica muy suave.
Es altamente probable que salga sin saber lo que se necesita.Cons: En general, todo.",1.5
"Intentar explicar los temas con aplicaciones interesantes, saca 3 notas pero al final solo toma las dos más altas, se confunde explicando y habla con un tono de voz muy bajoPros: Pone retos opcionales para solucionar los cuales exime del parcial o da una bonificaciónCons: Se enreda explicando el tema o no sabe como expresarlo, voz baja",2.0
"No se aprende, parciales duros l",2.6
"Es un pésimo profesor si esta viendo la materia por primera vez, todo lo hace con un programa de computador así que si quiere aprender a hacer los procesos en cada ejercicio debe de estudiar por su propia cuenta. Sirve para subir el promedio, el sistema de puntos influye considerablemente en la nota final por lo que es mejor participar en clase. Si esta repitiendo la materia y no quiere esforzarse es el profesor perfecto para dejarla alta.Pros: Se deja alta
Los parciales son sencillos
Los puntos ayudan a dejarla aun mas altaCons: Sale mal preparado para las siguientes materias
No se aprende prácticamente nada en todo el curso",2.0
"Explica bien, sin embargo con él hay que trabajar con él bastante, porque el man lo coge entre ojos si no es tan juicioso.
Es un poco machista.Pros: Enseña bien.Cons: Es machista.
A veces coge entre ojos a los estudiantes.",3.1
"Muy buena profesora.
Las clases son entretenidas, los temas del parcial son muy parecidos a los ejercicios hechos en clase y a la hora de calificar califica lo justo,
a veces se enreda un poco por su acento ruso
Pero en términos generales las materias son muy pasables con ellaPros: Llega tampranoCons: e enreda un poco por su acento ruso",4.5
"Herbert es de los mejores profesores que he tenido, sus explicaciones son muy claras sin perder rigor. Además, siempre se encarga de que sus clases sean entretenidas, como persona es un amor. Los parciales son justos y recomiendo hacer todos los talleres opcionales que manda.",4.8
"Pasarás si tienes tiempo y dedicación para estudiar autónomamente, él tiene vídeos en su canal de YouTube, pero se basa principalmente en sus libros guía.
Tiene un fuerte enfoque en la parte gráfica. Sus parciales son complejos, pero pasables si estudias.
Pros: Siempre deja asignaciones de bonificación que suben hasta 1 unidad en los parciales.
Ofrece una ayuda a quienes perdieron al final del módulo, con un taller jodidamente largo.
Hace pausas activas, lee poesía y enseña lengua de señas en clase. Cons: Se limita exclusivamente a las notas de parciales para la definitiva, no hace quizes y los talleres que deja no los califica. Es muy fácil perder con él. Se enreda mucho explicando. 
Casi siempre llega tarde y saca excusas.",2.9
Exigente,1.5
"El profesor es muy bueno, su método me gusta mucho, consiste en explicar brevemente el tema (sin demostraciones). Luego de esto el profesor deja una buena cantidad de ejercicios, los cuales se deben empezar a resolver dentro del salón y uno le puede preguntar mientras tanto aunque nunca me resolvió ninguna duda pues no le entendía nada Jajaja aunque con wolfram alpha no hubo problema porque ahí te dan el paso a paso así que puedes aprender con eso",4.1
"Excelente profesora, es verdad que puede ir rápido pero si le pide que se devuelva lo hace y le vuelve a explicar con todo el gusto, es totalmente abierta a preguntas y horarios de atención. Al tener diapositivas es que le rinde aún más la clase, los quices con ella fácilmente puede dejarse en 5 pues deja puntos positivos, le aconsejo que no tome apuntes para seguirle el ritmo y que sus apuntes sean las diapositivas que se las manda conforme avanza el curso, vi el curso en conjunto pero me pareció que preguntaron tal cual lo que aparecía en los talleres y lo que explicaba. Exige lo que da y es necesario estudio autónomo. Si quiere aprender integral, meta sin duda con ella Pros: Diapositivas, puntos positivos (3 equivalen a un 5 en un quiz)
Buena relación
Cons: Irónicamente las diapositivas para quien no puede ver el curso sin tomar sus propios apuntes",4.5
Explica temas claramente hasta el punto en que se va a acabar el semestre y explica todo lo que falta en pocas clases. Además su actitud hacia con los estudiantes da mucho que desear. Hay que estudiarle bastante. Cons: Impuntual y no resuelve dudas,2.5
"Bastante buen profesor. No envia talleres excesivos y explica de manera concisa y practica los temas. Pros: Para estudiantes que se les facilite el tema es ideal al no enviar casi talleres ni tareas obligatorias. Cons: Le faltaron algunos temas especificos que pueden salir en parciales conjuntos.
Es dificil encontrarlo fuera de clase y no responde casi nada por correo.",4.5
"El profesor es buenísimo, es muy amable y explica muy bien, sus parciales y quices son fáciles, a las tareas hay que dedicarles un poco de tiempo pero vale muchísimo la pena",5.0
"Herbert es un profesor muy amable y tiene una excelente metolodogía. Es muy atento a las preguntas que le hacen y sabe mucho. A veces se extiende mucho en temas que no son tan necesarios, aun así es especial debido a que saca tiempo (clases extra) para hacer demostraciones.Pros: Amable, excelente metodología.",5.0
"El man es buena gente, pero definitivamente no es docente, llega media hora tarde, no prepara las clases. Y califica es como por cara :v
Procure llevarsela bien con el cucho. 
Es más bien para que usted estudie por su cuenta si quiere aprender bien. 
También es bueno que le participe en clase, pues el tipo a pesar de no enseñar bien sabe demasiado, y resuelve dudasPros: Buena persona
Se estudia por cuenta propia. 
Sabe mucho del tema. 
Cons: Se nota que no le gusta enseñar.",3.3
"A este profesor le da pereza escribir, por lo tanto lleva diapositivas para la clase, las cuáles lee demasiado rápido como para lograr captar una idea, explica los temas al brochazo, y por salir del paso. A él no le apasiona lo que hace y me parece muy raro que siendo un profesor tan malo tenga posdoctorado. Por otro lado, él antes calificaba talleres, y seguramente le da pereza calificar y ahora hace quices, por otro lado los talleres que asigna para practicar son planas, y bastante largas, sus ejercicios son cantidad y no calidad. 
Es el clásico matagenios.",2.2
"Es muy paciente y explica muy bien los temas. Es muy amable ya que siempre está disponible para una asesoría. Pros: Los parciales son sencillos, pero hay que prestar mucha atención a los detalles para no tirárselos.Cons: Sus cursos siempre tienen sobrecupo.",5.0
"Es buen profesor aunque todas sus clases son casi calcadas del texto guía que utiliza. Los parciales los hace solamente con ejercicios del libro. Al final del semestre, realiza una pequeña actividad en la que regala puntos extra, pero la hace el día en que menos gente asiste así que mejor no faltar a clase. Los parciales los califica muy rápido (de una clase para la otra) y es justo calificando. Cuenta historias de la matemática relacionadas con los temas que se tratan, y son muy entretenidas.Pros: Califica rápido y justo
Relaciona los temas con cosas importantes
Puntos extra al final del semestreCons: No se sale del texto guía que utiliza",4.0
"Es un muy buen profesor y persona, hace demostraciones pero con ello aporta trucos y formas de resolver los ejercicios que pone. Los parciales son lo que el explica y los ejercicios en estos son muy parecidos a los repasos que hace semanales y envia por correo. Ponia tareas pero de uno o dos ejercicios, que resolvia en clase si uno tenia alguna inquietud, no eran dificiles y sirven para subir la nota. Es justo con la nota.Pros: manda repaso semanal
parcial con lo que explica
tareas faciles y cortas",4.8
"Si ya sabe cálculo diferencial o está repitiendo, es una excelente opción, ya que sus parciales son demasiado fáciles. Si no la ha visto, no lo recomiendo, porque va a quedar con muchos vacíos y como no explica bien, va a ser más complicado pasarle. No me pareció buen profesor, en absoluto y solo lo recomendaría en los casos del principio.Pros: -Deja talleres para estudiar
-Sus parciales son excesivamente fáciles
-Regala algunos puntos por ejercicios en claseCons: -Explica muy mal
-Se enreda y se equivoca muy seguido
-Habla muy bajo y no sabe usar un micrófono",2.5
"La profesora da tiempo para preguntarle en la oficina, parciales difíciles, pero quizzes para subir la nota de la materia.Pros: Tiene buena disposición",4.3
"Gran recorrido, buena experiencia. No profundiza demasiado como si lo hace la bibliografía recomendada. Los parciales son fundamentales, no hay más nota que esa (también unos quizes parecidos a los parciales), no confiarse de los parciales, por suerte para eso deja buenos talleres, recomiendo trabajarlos a la totalidad corroborando las demostraciones con compañeros, esto ultimo muy importante. También lo principal es leerse al tiempo el libro guía aunque el profe no lo sigue rigurosamente, pero estar atento que cada explicación está dada de cierta manera en ese libro (el Moise).Pros: Amable, dedica tiempo extra clase, recursos muy buenos.Cons: Las correcciones hacerlas lo más pronto posible, si se le da tiempo es capaz de durar todo el semestre sin ayudarlo. También cometió errores al calificar que casi me valen la materia.",4.0
"Carolina es buena persona pero a mi parecer es pésima profesora, se burla de los estudiantes y exige demasiado a comparación de lo que ella enseña en clase.Pros: Es buena persona (en cierto modo) Cons: Casi todo.",1.5
"Es un buen profesor, explica bien, los quizes son relativamente sencillos, los parciales son complicados aunque para calificar hay que ser extremadamente cuidadoso y hay que dedicarle mucho tiempo para aprobar con el.Pros: Quizes sencilosCons: Parciales complicados
Califica muy duro",3.5
"Es un profesor increíble,se preocupa porque aprendas e indagues más del tema,es uno de los mejores profesores que he tenido es muy amable y te ayuda en lo que necesites, hasta donde su capacidad como docente le permita claro esta.Pros: Explica genial,en serio se esmera en que aprendas. Cons: ninguno,es sin dudas el mejor.",5.0
"Es un muy buen profesor, prepara sus clases, pero es exigente en los parciales (el primer parcial es muy jodido y mas si no se se estudia), deja talleres no calificables y hace quices (los mismos puntos del taller) por lo cual es bueno hacerlos. A demás al final elimina los dos peores quices.Pros:",4.0
"Es un buen profesor, explica lo necesario y en los parciales no pregunta nada diferente a lo visto en clase. Lo mejor es llegar temprano porque a veces hace quiz tan pronto como inicia la clase, por lo que si se llega tarde ya le quedó ese quiz en 0.Pros: -Parciales fáciles
-Se esmera por hacer que la clase sea amena",4.0
"no explica nada, exige lo que no es capaz de enseñar, no entiendo como esta señora tiene incluso mejores referencias que docentes como Lorenzo, Ibeth o Zalamea, pide perdón con el 70% de las notas listas para poner un tercer parcial mucho más difícil con temas de integración (para luego decir que debimos deducirlo), realmente me da lastima por quienes parece que nunca han tenido un buen docente en la universidad. Se confunde enseñando conceptos sencillos en clase pero es totalmente distinta al calificar, nunca atendió ningún horario de atención, y seguramente tampoco respondería como lo hace en clase.Pros: no le pongo menos de 1.5 porque es lo mínimoCons: es desagradable, no escribe en el tablero, no prepara ninguna clase, pone parciales que ni ella podría hacer y mucho menos redactar bien en 2 horas,",1.5
"Explica muy bien, resuelve dudas, muy interactiva y nada aburridoraPros: Clases interactivas",4.0
Cons: El segundo parcial siempre da a matar a los estudiantes,1.6
"Excelente profesor, explica muy bien y evalua lo que enseña, prepara muy bien sus clases, y trata de resolver todas las dudas que pueden surgir.",5.0
"Vi dos materias y me parecio que explica bien. Algunas veces es bastante arrogante y orgulloso pero a mi se me hacia divertida la clase con sus chistes y actitud. Es escuelero, deja mucha ""tarea"" y varias veces toca leer el libro para entender como se deben de hacer algunos puntos, aunque con eso se estudia para los parciales. Al final deja bonus. Pros: Parciales trabajables.
Cons: Bastante trabajo extra clase.",4.2
Parece que siempre esta enojado dando clase pero enseña bastante bien.Pros: Ayuda bastante en los parciales y no son difíciles,3.5
"Fernando Zalamea sabe muchísimo de  matemáticas, es un puto amo. Pero considero que no es buen profesor, da por sentado que uno sabe muchas cosas (pero se supone que él las debe enseñar), no se profundiza en los temas del curso por la misma razón, lo único 'bueno' es que es fácil pasar con él, pero se tendría que estudiar mucho por cuenta de uno.Pros: Se pasa fácil.Cons: Uno queda con muchas falencias en el curso, pues no profundiza.",2.8
Gran docente. El mejor!!!Cons: Califica muy duro los parciales. Pero se aprende mucho con él,5.0
"Caca, no inscribas con él.
Lo califico con 1.5 porque es el mínimo, que si no le colocaría 0.",1.5
"Epifanio es el mejor profesor que he tenido hasta ahora. Su dedicación para enseñar es admirable. Uno le aprende todo. Los parciales son MUY trabajables, si uno pone buena atención, y estudia bien. Pros: Dedicación
Quices fáciles
Cons: A veces, cuando escribe mucho en el tablero, da sueño",5.0
